key,rmsd,rmsd_min,energy
BACE1-4ZSP,1.9408350252163646,2.7113630204329757,-32218.8752065232
BACE1-2NTR,3.5163574243999967,3.168982901749226,-32020.736899625932
BACE1-5HU0,2.9226328916046835,2.0053129965882417,-32233.9111678565
BACE1-4WY1,1.4075118973520349,0.5660492353515773,-32317.525816495763
BACE1-4DPF,4.181093036123142,3.3444800954252445,-31954.26372209175
BACE1-4IVS,4.106064852986876,4.147027909704849,-32013.55990644411
BACE1-2VJ6,3.846683896275437,3.8104028786417032,-31999.23195251283
BACE1-4J0V,3.006516101240854,1.4884289754015188,-32232.69515105454
BACE1-4D85,3.144350183146285,3.7690736364421262,-31899.766338784953
BACE1-6BFX,2.6768909337140183,2.475614072201634,-32253.42311689024
BACE1-5HU1,2.3247094081465995,2.063514642199427,-32307.096357508337
BACE1-4KE0,2.457846878380404,1.8911307978150125,-31930.310904757447
BACE1-4AZY,3.1617755820846956,2.082411498013499,-31923.698019377618
BACE1-3ZMG,3.217141533238164,3.3118797640356106,-32165.63310301732
BACE1-5EZX,4.084613587206238,4.806616841842681,-32024.380355541398
BACE1-3NSH,2.9484231114065977,2.802000621675693,-32043.624534913775
BACE1-2PH8,3.057755122056657,2.911709984055761,-32063.7596852769
BACE1-5HE7,0.9386604265567958,1.2479985042726078,-32465.489050930402
BACE1-3KMX,2.4068288989534214,1.675611301971348,-32285.66028109588
BACE1-3QBH,3.752268141480166,3.0932327962148194,-32039.52217595039
BACE1-4KE1,2.544355911193669,1.861655177523485,-32109.307137802454
BACE1-5IE1,2.5850984780209796,2.104151463015518,-32158.351188283857
BACE1-2OHT,2.6723831723197917,2.4030638602972383,-31933.329328762815
BACE1-2VJ7,3.1043049142754935,3.1117616412886,-31757.44262033637
BACE1-2HM1,3.8214575514582445,3.3606534153015213,-32306.591924679586
BACE1-4FRI,3.866542530635174,3.5788966124998587,-32123.78110197236
BACE1-4R8Y,6.572663394433043,7.714753694491267,-31492.371301068168
BACE1-3BUH,3.3549400232636475,3.6954443744967937,-32214.11947584864
BACE1-5V0N,5.740442371048049,5.141291649944325,-31747.151727014065
BACE1-3L59,2.7382496802149565,2.9130549357716427,-31870.86161367297
BACE1-4R93,3.091106558469304,3.059571756526284,-31905.71996501361
BACE1-4I0E,4.413542168148547,4.990029502250797,-32107.19976516983
BACE1-4K9H,4.3349393153732825,4.506303842195044,-31682.35804060814
BACE1-5HDU,1.793112047203119,0.9497231639984858,-32201.092976675267
BACE1-2WJO,4.151528150878311,4.463953968016631,-31999.6653301043
BACE1-3DUY,2.755563619324558,3.2873855919716863,-32336.181872310113
BACE1-4FM7,3.737397843929958,3.851920961145113,-32060.059079413633
BACE1-2WF2,4.06770295632233,4.234858120684279,-31826.455719067468
BACE1-4FS4,0.8023980082253774,0.7755585084311819,-32197.5473550205
BACE1-3LPI,2.7736357641855047,2.9068203418856147,-31919.831606442014
BACE1-2ZDZ,3.9452006356336744,3.3805243718351483,-31844.39411157354
BACE1-4D88,2.1826854383155805,1.7308277819618016,-31997.216530779144
BACE1-4I0H,3.160058815817461,3.3554199737141697,-31921.26198067928
BACE1-4R5N,1.9773630764475614,1.1181682110255808,-32147.92714822333
BACE1-3IVH,3.4950628872887535,3.612530797751887,-31808.29212179999
BACE1-4DJW,1.9854217861703445,1.5585684259799242,-31944.312768111635
BACE1-3VV8,1.9149160978307127,1.717775282160038,-32071.27380716466
BACE1-3L3A,2.931891872740064,1.9952805410518093,-32012.677351708902
BACE1-4LXK,3.4162413326823935,3.061827984270696,-32076.805097643854
BACE1-5KQF,3.1347984850875616,2.650962561033256,-32464.565654564663
BACE1-4I0G,2.5392927077223986,1.7092404862979347,-32128.187406339333
BACE1-4IVT,3.27216261043958,3.04730804888964,-32232.771372189876
BACE1-1W51,3.0774917891587643,2.697674221459701,-31901.956408320482
BACE1-4H1E,1.8598289031971837,1.7532197825887679,-32152.907123375924
BACE1-3R2F,5.053246949179074,5.2745397096747855,-31598.9891811142
BACE1-3LPK,3.6648885648089657,3.479814264080771,-31401.98528050182
BACE1-4RRS,2.322012141807063,1.1470033743371206,-32125.289427537464
BACE1-3BUF,3.4378369699884943,3.8608479520813703,-32349.42751692683
BACE1-3IXK,4.450883841416512,4.838296859433079,-31842.25117680025
BACE1-4J0T,2.9193416722438466,3.1006827334948515,-32148.623288257317
BACE1-4ZPG,5.487835194847302,6.508405071579179,-32152.58854223781
BACE1-2VNN,3.807706717953278,3.8131016097612243,-31879.89748350959
BACE1-2OHS,1.5980738799091176,1.4925309697464144,-32371.038839391273
BACE1-4R92,3.7085551636349865,3.971627354592825,-31869.56980393216
BACE1-4I0D,2.8175312089521394,2.447830944598367,-32103.833424594894
BACE1-4PZW,1.392547201749972,1.3557576507961544,-32318.939970054267
BACE1-3L5D,2.2076862699620454,1.935900602525125,-32090.528581750186
BACE1-3HVG,3.6085759658049206,4.166365606093201,-31962.41514376863
BACE1-2QMD,2.8543908596049925,2.82573771140146,-32043.977976341786
BACE1-2VNM,2.8687096205174365,3.1526131464489566,-32393.381151082714
BACE1-3CID,2.911045108779628,2.705524394641453,-32378.507337854127
BACE1-1TQF,4.54482812959772,3.9392676318067044,-31263.77268747787
BACE1-2G94,5.038591659298761,5.556366644569893,-31998.43686154797
BACE1-5HD0,1.5396506094424032,0.8681822965253325,-32292.4945696339
BACE1-4I10,3.393483147166702,3.860764145590712,-32041.710264640686
BACE1-4H3I,1.6243701388060903,1.956793488740127,-32392.195559281136
BACE1-4I0F,4.51554331135456,4.705100141849011,-32242.85068707595
BACE1-3U6A,3.1857194802292854,3.040282818322108,-32033.180221489532
BACE1-4J1H,3.2357243729393708,3.1979427970702243,-31786.392888560968
BACE1-3SKG,5.677084630379087,6.141642305469551,-31749.378836089083
BACE1-2ZJN,7.728967158758336,7.566718971919071,-31978.20713722671
BACE1-4R95,4.15812172035789,3.971172033988129,-31855.283783956045
BACE1-3K5G,3.0543786886872986,3.1155367544441974,-31652.701160130866
BACE1-4FM8,3.205357391881643,2.121129570830127,-32020.592068812683
BACE1-3S2O,3.2620436660074024,3.6982368579017297,-31893.55402178938
BACE1-2QMG,2.89101461230522,2.7843209878956783,-32022.91637902958
BACE1-2VIE,3.5697736993185925,2.8621683594695684,-32125.30631787579
BACE1-4R91,6.277388863234173,6.73379228605428,-31801.572588438565
BACE1-4RRO,2.0341698108675486,1.1936507893419048,-32188.339971969734
BACE1-3DV5,2.4080532571518316,1.9263074446797352,-32121.08828020964
BACE1-4H3J,1.8223793157525656,1.3285326021592396,-32231.996350628695
BACE1-5HDX,2.6958328968350838,2.597879539162661,-32202.00629095847
BACE1-4I0J,4.2533819957589785,4.364547422127522,-32270.54681725594
BACE1-3DV1,2.570684734177697,2.9623657067697025,-32387.323234246607
BACE1-2QU3,4.39617888576952,5.191656472748797,-31889.401430768645
BACE1-4J1I,3.277312266124782,3.356587182858361,-32054.493671669454
BACE1-3RVI,2.9357534698854484,1.3138842137999556,-31937.460301634743
BACE1-4J1F,3.371007249683292,3.3953329095490274,-32104.797485767762
BACE1-4YBI,0.9634277613035126,0.8534784973592161,-32181.84530589125
BACE1-3K5D,3.4226305996357964,3.256967159963558,-32095.17592835129
BACE1-2XFK,3.496681706247664,2.540329429167731,-31948.825566120566
BACE1-4PZX,1.5211644831674092,1.2495835921802725,-32224.37053364756
BACE1-3CIC,2.774229369867927,3.1702598386322287,-32049.927648991645
BACE1-4DJV,1.8637818582387178,1.57456031277669,-32397.73357213138
BACE1-3LNK,2.87438694042119,2.551259593046366,-32245.439664186815
BACE1-4H3G,1.1308927543567098,0.646055514079655,-32091.237925483474
BACE1-4JOO,1.3430786778728512,1.147359446729751,-32369.47021252199
BACE1-4N00,1.716167511649829,1.1198369779315456,-32049.110182902317
BACE1-3LHG,2.520866638973973,1.803055085918659,-32228.679880368312
BACE1-3EXO,5.13315763890545,5.5038995921074,-31971.29026980618
BACE1-5CLM,2.3836444849055396,2.259519786739357,-32184.26975734494
BACE1-2ZJH,6.604218234279694,6.732011935521208,-31881.851465539254
BACE1-2OF0,6.09626458464879,5.790402372165422,-32179.271939716313
BACE1-2VA7,1.5395976465113141,1.5734561664349942,-32037.15539880313
BACE1-4JPE,1.21194667120116,1.171757244483686,-32154.36533769458
BACE1-5HTZ,1.1926783640370078,0.9057888614563894,-32353.758023034738
BACE1-4LC7,1.2484911611547973,1.4395205723645874,-32187.80440414034
BACE1-4JP9,1.4656254454277118,1.6296325565079908,-32309.613395416003
BACE1-3VEU,3.049493983858397,1.411897066007292,-32021.210916473934
BACE1-3HW1,3.0078028974075424,3.108377541017178,-32198.1037983129
BACE1-3CIB,3.3896600240365555,3.4353640339059472,-32021.517595802117
BACE1-4J1K,3.223681639718704,3.2726097950974453,-31827.296379233037
BACE1-3INF,3.3478737636998956,2.693436882753949,-31912.86630751685
BACE1-4DH6,4.2973526814373555,4.54070165007568,-31528.010474995568
BACE1-5I3Y,4.111884988537518,4.058457251329569,-31706.198229548314
BACE1-3S7L,2.2865595700558736,1.9304976138387315,-31916.77298894846
BACE1-2OHN,2.2808762281955897,2.2808762281955897,-32368.703238681926
BACE1-5ENM,2.2690564099128783,2.54019034016857,-32284.474742521117
BACE1-4I12,5.126465670824822,6.128721304916168,-31888.681026225426
BACE1-4DJY,1.120523953341545,0.9581355492670282,-32324.223806436792
BACE1-2B8L,2.989733113792179,2.3619142505241952,-31980.170624579154
BACE1-2PH6,2.907732554504715,2.152733714923521,-32112.438380261723
BACE1-5DQC,4.299839998479217,3.98495989020349,-31794.652768782187
BACE1-3L5C,3.6618594345840734,3.8829221518722212,-32163.25895472789
BACE1-4FRS,0.9977762493801219,0.9688767723503334,-32420.07454549735
BACE1-4J0P,2.944697534745642,2.5073555330727966,-32220.86755375961
BACE1-2WEZ,4.189796629821513,3.5357384573840287,-31410.14153562943
BACE1-4BEK,2.348105067697658,2.6047971850030853,-32320.636795471422
BACE1-3VF3,2.317908182517531,1.4784695116146946,-31985.461854406163
BACE1-2OHP,1.2180382131594192,1.316232059073678,-32188.74336495345
BACE1-3UDQ,3.4316088502228705,3.563095517477277,-31548.995120726668
BACE1-4HA5,0.5299822629601314,0.9416908474514946,-32422.30234995392
BACE1-2VA6,0.7050809891814345,1.5810008433478668,-32394.545669117622
BACE1-3N4L,4.522551551908548,4.646018547407785,-32207.122586540547
BACE1-3RSX,3.9741146727665324,3.815313379985975,-32422.09947088398
BACE1-2VIZ,3.8275596515632357,4.267559358808309,-31937.127673391315
BACE1-3UQU,2.8288415002090788,2.232816533980928,-32301.01137437494
BACE1-2P4J,4.629147027803473,4.480314028717001,-31988.464322251788
BACE1-3QI1,2.6809212596823646,2.7547274769425423,-32139.418988945254
BACE1-2WF1,4.903680805071538,4.47599120174462,-31475.35116192862
BACE1-2QMF,3.2662517539334766,3.1723163168185935,-31952.46827961645
BACE1-3IGB,3.822209640696481,4.175602819844209,-32279.743591736566
BACE1-4J17,3.0475219899662633,2.62094890804293,-31933.04840070076
BACE1-3RTH,3.840856492480003,4.168141630531995,-32276.688751648253
BACE1-5TOL,2.4744356738946145,2.4877982531041676,-32130.890194428473
BACE1-3PI5,2.7920140794388337,2.2764836011284806,-32233.492004522883
BACE1-4B78,3.7281179075975004,3.8562484313495307,-32223.954879911897
BACE1-1YM4,3.415729490193125,3.2265010666871534,-32360.634081026954
BACE1-2QZK,2.6351717185720442,3.171720447958805,-31769.305663508418
BACE1-4D83,2.6340178205069105,2.236706034711376,-31769.954836581786
BACE1-2QK5,3.234328166043151,3.142321916005667,-31997.46479067592
BACE1-4B70,1.953670201247019,1.2827669498467165,-32563.17261473163
BACE1-3KYR,8.897169019014633,9.381594092239254,-31949.79728729667
BACE1-2IQG,3.037062151483418,2.578203534132756,-32200.913085273205
BACE1-3VV6,2.78107238744513,2.5443987065272964,-32376.379507086072
BACE1-4TRY,4.0559797769319905,3.6472996860691334,-32320.36415729756
BACE1-2QP8,2.8029340507245557,2.128272879590397,-31922.733330052706
BACE1-3INE,3.1243866661347424,2.9570805485090137,-32151.63163488881
BACE1-3L58,3.005625035847454,2.638375045544583,-32163.350976819842
