key,rmsd
1c5z,0.8610538461876461
2wvt,1.9909931467526858
3nw9,1.0478289236223544
3arp,9.792194446165947
1e66,1.619409152708058
2x00,4.853657150874763
3zt2,5.185273388429235
3ejr,1.9405687192981371
1eby,5.3951891922163275
2xb8,2.6022668052303057
4f3c,2.0696046231102034
4owm,2.790563021301363
1g2k,4.68191545822547
2xbv,2.6081008696672954
3nx7,1.1750861989867818
3arq,4.377098860134291
1gpk,3.5799723059799753
2xdl,3.1790979578747574
4abg,2.072197202869589
3f3a,1.6715421799614025
1gpn,3.2014037673963727
2xii,2.5467907931178453
4f9w,1.9902852512924543
4pcs,1.8641471030366796
1h22,8.382898838842408
2xj7,1.474807364152836
3o9i,9.159248839463574
3aru,2.8728735570338366
1h23,7.305829088034181
2xnb,1.0496768264831478
4agn,3.1122103916573445
3f3c,1.475089802415794
1k1i,1.7919754845667286
2xys,3.853381561379151
4gfm,2.885001324634586
4qac,3.2273056517987455
1lpg,7.177913585169215
2y5h,1.9017366349097695
3oe4,1.8686971369936953
3arv,3.6413756163835447
1mq6,4.128898162286246
2yfe,1.879398592591007
4agp,2.8703204886943183
3f3d,1.4034372573974567
1nc1,1.5719341916183764
2yge,1.5736615885398764
4gid,2.140461679058679
4qd6,4.844526750709971
1nc3,1.5110796083386404
2yki,5.185165378122995
3oe5,4.906386815773149
3ary,3.3891463771758317
1nvq,0.6896473016236113
2zb1,3.059842715262185
4agq,3.5327696523417766
3f3e,1.4238230523764601
1o0h,2.1149278005847005
2zcr,3.7953724416756125
4gkm,4.473755932066758
4rfm,3.8580526015444443
1o3f,1.3541497442164108
2zy1,2.9318770299928825
3ozs,5.94244279361105
3b1m,2.286986800226145
1o5b,0.501490910248543
3ag9,7.645975572431979
4bkt,2.478508059752533
3fcq,3.5161502116893817
1owh,2.8404742471031033
3ebp,2.1505593583717797
4gr0,4.167796121663096
4tmn,2.3334877675365213
1oyt,2.2425841624650853
3ozt,4.659178286752363
3b27,1.7625540155789867
1p1n,1.2529636398689925
4cig,4.561061453524978
3fur,4.537718333996649
1p1q,0.9960678952632025
4hge,2.187270377818683
4twp,2.839397634657164
4ciw,1.9275356204480543
1pxn,2.2752868371832324
3b5r,3.4397538503955034
3p5o,1.8435823204146753
1ps3,1.0175006021126392
3fv1,1.1099441512922341
1q8t,2.552267340338613
4ih5,2.0967134150452966
4ty7,0.9355680727117965
1q8u,1.623869209105289
3prs,7.394402190906239
3b65,2.891563138911525
1qf1,6.99252917686394
4cr9,1.9819327573994356
3fv2,1.5156021727487092
1qkt,1.12604108478541
4ih7,2.1277151026162606
4u4s,4.125623439039332
1r5y,0.5918215466586239
3pww,5.236203316287458
3b68,3.9466780868817963
1s38,0.768612139010916
4cra,4.3345015741705515
3g0w,2.582877328783978
1sqa,5.434400448308369
4ivb,0.8044741645607905
4w9c,1.210533584543955
1syi,1.0642977807607832
3pxf,1.4888914465266523
3bgz,2.9634224601870236
1u1b,5.110091766835773
4crc,1.0687095382587677
3g2n,0.8194380946664234
1uto,1.0830388441805452
4ivc,1.3028457801781106
4w9h,1.124703479117153
1vso,1.7800663857544154
